"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-09","5.12","84",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-10","0.28","81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-11","1.97","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-12","0.98","85",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-13","0.16","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-14","0.43","85",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-15","0.12","85",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-16","0.12","84",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-17","0.16","85",,"81"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-18","0.28","86",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-19","0.08","86",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-20","0.01","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-21","0.24","85",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-22","0.63","86",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-23","0.00","84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-24","3.31","81",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-25","1.50","82",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-26","1.73","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-27","8.62","82",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-28","1.10","84",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-29","0.02","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-30","1.54","81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-07-31","2.56","83",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-01","0.51","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-02","1.69","80",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-03","5.28","80",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-04","0.00","81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-05","2.44","83",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-06","0.35","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-07","0.31","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-08","0.04","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-09","0.16","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-10","0.12","83",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-11","0.20","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-12","0.24","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-13","0.04","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-14","0.12","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-15","0.31","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-16","0.24","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-17","0.20","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-18","0.16","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-19","0.08","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-20","0.04","84",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-21","0.24","84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-22","0.04","84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-23","0.08","84",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-24","0.04","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-25","0.43","82",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-26","0.28","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-27","0.00","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-28","0.24","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-29","0.12","84",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-30","0.12","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-08-31","0.51","82",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-01","0.63","81",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-02","0.67","82",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-03","5.16","80",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-04","4.65","79",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-05","9.53","81",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-06","1.77","81",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-07","0.91","80",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-08","4.69","80",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-09","1.02","81",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-10","2.13","82",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-11","0.28","81",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-12","0.20","81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-13","1.61","81",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-14","0.91","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-15","1.22","80",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-16","0.35","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-17","0.20","81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-18","0.31","81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-19","2.72","82",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-20","0.12","81",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-21","2.17","82",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-22","0.03","84",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-23","0.00","84",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-24","0.02","84",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-25","1.18","82",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-26","0.04","82",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-27","1.14","82",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-28","0.04","82",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-29","0.01","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-09-30","0.16","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-01","0.03","84",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-02","0.00","84",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-03",,"84",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-04",,"84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-05",,"83",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-06","0.00","85",,"74"
