"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-24",,"88","97",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-25",,"87","96",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-26","0.02","85","98",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-27","0.12","84","95","77"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-28","0.75","84","92","76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-29","0.03","85","92",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-30","0.00","87",,"82"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-05-31","0.01","85","92","81"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-01","0.00","85","92",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-02",,"85","92",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-03",,"85","92",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-04",,"85","92",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-05","0.16","84","91","81"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-06","0.00","84","91",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-07","0.28","84","92",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-08","0.00","83","91",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-09",,"83","91",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-10",,"81","91","78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-11","0.75","82","91",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-12","2.40","81","87",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-13","0.75","80","89",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-14","0.67","80","83",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-15","5.98","80","84",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-16","1.65","82","88","71"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-17","4.84","79",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-18","0.00","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-19","0.08","84","89","80"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-20","0.08","83","89","80"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-21","0.04","82","89",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-22","0.08","84","89","79"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-23","0.00","84","89",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-24","0.02","85","89",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-25","0.01","84","90",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-26","0.55","84","89","76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-27","0.03","84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-28","0.51","85","90","80"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-29","0.12","84","90","80"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-06-30","0.01","84","90",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-01","0.87","81","87",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-02","2.01","81","87","74"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-03","0.39","82","87",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-04","2.56","81",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-05","0.00","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-06","0.47","80","84",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-07","0.39","78","85",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-08","4.72","79",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-09","6.34","79",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-10","4.84","81","86","76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-11","0.08","80","86",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-12","0.59","81","87",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-13","0.94","81","87",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-14","0.43","81","87","78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-15","0.43","81","86",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-16","0.59","82","86",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-17","0.03","82","87","80"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-18","0.00","82","86",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-19","0.43","82","84","78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-20","0.43","82","87","78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-21","0.20","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-22","0.08","82","86","79"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-23","0.00","82","86",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-24","0.16","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-25","0.04","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-26","0.16","81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-27","0.59","82",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-28","0.16","83","89",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-29","0.04","84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-30","0.20","81",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-07-31","0.43","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-01","0.00","84","88","80"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-02",,"83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-03","0.03","80","85",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-04","0.51","79",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-05","0.43","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-06","0.31","85",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-07","0.20","80",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-08","1.26","80",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-09","3.15","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-10","1.54","81","85","76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-11","1.30","82",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-12","0.71","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-13","0.91","84",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-14","0.63","81",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-15","3.58","81","84","76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-16","1.81","81",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-17","0.31","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-18","0.35","82",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-19","0.20","85",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-20","0.08","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-21","0.16","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-22","0.00","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-23","0.51","83","88","76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-24","0.24","82",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-25","0.16","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-26","0.01","84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-27","0.12","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-28","0.35","84",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-29","0.24","83",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-30","0.12","83","88",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-08-31","0.01","85",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-01","0.00","84",,"80"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-02","0.03","81","86",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-03","0.08","80",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-04","0.28","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-05","0.00","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-06","0.12","82",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-07","0.12","84","88","77"
